first,last,title,headshot,teams
Mark,Allan,"Assistant Director of Research and Instruction Services, Angelo State University",allan.jpg,steering
Marilyn,Myers,"Interim Dean of Libraries, University of Houston",myers.png,steering
David,Carlson,"Dean of Libraries, Texas A&M University",carlson.jpg,"steering,comm,neg"
Lisa,Beinhoff,"Managing Director of Libraries, Texas Tech Health Science Center – El Paso",,steering
Marina,Oliver,"Associate Librarian, Texas Tech University – Lubbock",,steering
Sara,Lowman,"Vice Provost and University Librarian, Rice University",lowman.jpg,"steering,neg"
Cherie,Hohertz,"University of Dallas, Dean of University Libraries",hohertz.jpg,"steering,comm"
Richard,Nollan,"Executive Director, Texas Tech Health Science Center – Lubbock",nollan.jpg,"steering,neg"
Kelly,Gonzalez,"Assistant Vice President for Library Services, UT Southwestern Medical",gonzalez.jpeg,"steering,neg"
Catherine,Rudowsky,"Dean of Libraries, Texas A&M Regional Campuses",rudowsky.jpg,steering
Eric,Owen,"Executive Director of Library Services, Sam Houston State University",owen.jpg,steering
Joan,Heath,"Associate Vice President and University Librarian, Texas State University",,steering
Vivienne,McClendon,"Executive Director of Libraries, University of Houston – Clear Lake",,steering
Jeffry,Archer,"Dean of University Libraries, Baylor University",archer.png,steering
Lisa,Braysen,"Assistant Director, Library Planning and Assessment, University of Houston-Downtown",braysen.jpg,steering
Alexia,Thompson-Young,"Assistant Director of Scholary Resources, University of Texas Austin representing UT System",thompson-young.jpg,"steering,neg"
Lorraine,Harricombe,"Vice Provost and Director, Univerisity of Texas Austin",,steering
Ellen,Safley,"Senior Associate Director, University of Texas at Dallas",,steering
Deborah,Hathaway,"Acquisitions and Collection Development Librarian, University of Dallas",hathaway.jpg,neg
Ian,Knabe,"Head of Research Materials Procurement, University of Houston",knabe.jpg,neg
Asheley,Landrum,"Assistant Professor, College of Media & Communication, Texas Tech University",landrum.jpg,neg
Vagheesh,Narasimhan,"Assistant Professor, Department of Integrative Biology, Department of Statistics and Data Sciences, University of Texas Austin",narasimhan.jpg,neg
Jeffrey,Spies,"Lead Negotiator, TLCUA",spies.jpg,"neg,comm"
Chuck,Weaver,,weaver.jpg,neg
Ginger,Williams,"Head Acquisitions Administrative Librarian, Texas State University",williams.jpg,neg
Julie,Barnett,"Section Manager, Communications & Marketing, Texas Tech Univ. Libraries",,comm
Jonathan,Helmke,"Library Director, Stephen F. Austin State University",helmke.jpg,comm
Patrick,Zinn,"Director of Marketing University Libraries, Texas A&M University",zinn.jpg,comm
